generation,fitness,distanceFromTarget
7,0.5299998,25.07735
7,0.27,32.98732
7,0.28,34.12929
7,0.28,32.06179
7,0.26,33.92417
7,0.31,29.0986
7,0.7799996,33.10709
7,0.3899999,31.51935
7,0.26,34.64816
7,0.3599999,32.27823
7,0.3,33.40934
7,0.3,33.0648
7,0.31,31.10585
7,0.19,34.06018
7,0.24,35.5615
7,0.14,33.3638
7,0.24,32.30001
7,0.12,34.33895
7,0.24,35.30471
7,0.4099999,31.91259
7,0.32,32.75491
7,0.21,33.89421
7,0.21,37.21415
7,0.26,34.29909
7,0.31,31.3984
7,0.27,26.86865
7,0.26,27.28012
7,0.26,35.03206
7,0.27,29.76853
7,0.28,31.36365
7,0.3899999,36.4726
7,0.25,34.36863
7,0.32,34.97239
7,0.26,30.79658
8,0.33,32.16994
8,0.5099998,24.76028
8,0.32,34.96416
8,0.7199996,29.44985
8,0.32,34.96145
8,0.5199998,31.84587
8,0.3,33.30787
8,0.3399999,29.60918
8,0.31,33.4149
8,0.3,33.40916
8,0.5199998,34.2359
8,0.2,33.86331
8,0.3399999,32.78037
8,0.25,33.91999
8,0.27,27.53565
8,0.26,34.00957
8,0.28,32.19906
8,0.14,35.95488
8,0.28,33.57274
8,0.3899999,36.01635
8,0.29,28.69169
8,0.23,34.00075
8,0.4199999,36.58404
8,0.26,34.48342
8,0.27,34.07337
8,0.28,33.1731
8,0.32,34.95619
8,0.25,32.31635
8,0.33,32.1761
8,0.28,29.75396
8,0.21,37.23321
8,0.29,34.64588
8,0.26,33.93303
8,0.22,33.96728
8,0.28,29.02264
8,0.23,34.11512
8,0.26,25.81104
8,0.21,29.63832
8,0.25,35.47403
8,0.25,33.20676
9,0.3499999,31.34977
9,0.5199998,31.85237
9,0.32,30.68065
9,0.18,34.61992
9,0.31,30.84675
9,0.3899999,34.34999
9,2.439998,32.9989
9,0.3599999,34.74861
9,0.32,34.96088
9,0.25,34.33582
9,0.3799999,33.31939
9,0.27,32.95879
9,0.33,34.07976
9,0.3899999,36.00251
9,0.3499999,30.48074
9,0.5199998,32.41665
9,0.32,34.95933
9,0.31,31.55516
9,0.22,33.95348
9,0.3599999,32.48536
9,4.57001,41.62915
9,0.29,32.52072
9,0.28,33.89328
9,0.26,30.49666
9,3.979997,38.58466
9,0.21,35.35116
9,0.5199998,25.88803
9,0.28,28.9723
9,0.24,33.93282
9,0.3899999,29.73023
9,0.4599998,28.28017
9,0.27,30.17721
9,0.33,32.24825
9,0.23,33.62091
9,0.28,29.78867
9,0.3599999,33.91322
9,0.3399999,30.12415
9,1.509999,21.86981
9,0.32,34.94738
9,0.3799999,29.65583
10,1.319999,35.11736
10,1.819999,37.52623
10,0.9699994,35.87056
10,0.3399999,36.76914
10,0.26,32.08051
10,0.7799996,33.21887
10,0.29,31.29212
10,0.3599999,32.42247
10,2.179998,36.43383
10,0.27,33.79994
10,0.28,29.06011
10,0.3599999,33.77761
10,0.3699999,33.89427
10,0.3399999,32.1519
10,2.559998,36.05728
10,0.4999998,34.41062
10,0.3599999,33.28741
10,0.27,32.97398
10,0.5299998,27.7336
10,1.779999,35.03055
10,0.3799999,33.30109
10,0.4799998,29.98883
10,0.23,33.71896
10,0.22,33.9817
10,0.4099999,36.58717
10,0.3499999,35.9891
10,0.32,34.96158
10,0.3,33.07656
10,0.4099999,29.62271
10,17.12276,29.18062
10,0.3999999,29.64648
10,0.3899999,29.65593
10,0.3499999,32.07795
10,3.599997,40.62462
10,0.22,34.02929
10,0.3999999,32.91838
10,3.249997,32.13438
10,0.33,34.77807
10,0.26,34.18478
10,0.4099999,36.59125
11,0.7899995,34.37374
11,4.530009,40.21221
11,1.819999,33.00254
11,1.149999,33.86113
11,0.26,33.79358
11,3.269997,32.96039
11,1.339999,36.47308
11,16.55003,29.63699
11,1.669999,33.9527
11,4.670012,41.21208
11,31.88971,21.81715
11,2.249998,32.33457
11,0.25,33.76818
11,2.299998,35.93653
11,0.3899999,29.72958
11,18.49352,28.49524
11,1.599999,37.74096
11,0.3499999,31.97516
11,34.66861,20.73271
11,0.3699999,35.91411
11,0.4699998,32.37989
11,0.6599997,33.59017
11,0.28,36.30066
11,0.24,34.81835
11,0.31,32.8702
11,0.4699998,32.38358
11,0.3399999,34.72267
11,1.039999,32.76796
11,2.279998,32.83921
11,0.3899999,32.5359
11,0.28,34.3754
11,18.72211,28.24594
11,0.26,34.29877
11,0.3599999,32.00348
11,0.5599998,34.8168
11,0.22,34.02392
11,2.029999,35.04582
11,1.279999,34.88013
11,0.25,33.80647
11,1.769999,33.77394
12,0.4599998,31.40887
12,30.52136,22.37632
12,4.430007,35.37903
12,6.681487,34.17625
12,0.27,34.47146
12,0.28,32.63814
12,0.8099995,34.44297
12,0.3399999,31.89835
12,1.729999,35.89565
12,0.7599996,33.92981
12,4.330004,39.68301
12,4.840016,33.53869
12,2.619998,32.11824
12,2.029999,36.89655
12,2.379998,33.69498
12,1.319999,26.09901
12,2.419998,34.74398
12,12.24452,31.46974
12,0.3499999,33.15987
12,1.289999,29.86175
12,0.3699999,32.78316
12,0.23,33.16225
12,1.889999,35.98175
12,1.169999,35.00148
12,0.3799999,32.62455
12,0.26,34.82169
12,11.61447,32.06977
12,0.29,32.09671
12,10.35719,33.17342
12,0.26,32.52602
12,0.28,36.21091
12,0.27,33.5265
12,0.3,32.85315
12,1.889999,28.02125
12,0.4799998,31.21133
12,0.26,34.30655
12,0.26,34.24394
12,0.3499999,31.37491
12,0.3399999,33.81267
12,31.66731,22.21335
